0kilo	'kilau	@千; { 千	13
3ty	'leiati	@俗人, 外行; | 外行[人]	80
2ke	leik	@湖, 池, 色淀; v. (使)血球溶解	23
4s	leik	@色淀；湖泊, 湖畔	20
2mb	lEm	@小羊, 羔羊; v. 产羊羔	3f
4aste	lEm'beist	!痛打, 严责	80
3e	leim	#跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人; $变跛; !使成残废, 使无用	3e
4nt	la'ment	@悲叹, 悔恨, 恸哭, 挽歌, 悼词; !哀悼; $悔恨, 悲叹	e0
6able	'lEmantabl	#可悲的, 哀伤的, 可怜的	80
7tion	.lEman'teiSan	@悲叹, 哀悼	8
3inate	'lEmineit	!制成薄板, 制成箔; $分成薄片; #薄板状的; @层积塑胶板, 薄片制品; { 层压	80
3p	lEmp	@灯; !照亮; { 逻辑模拟分析系统	7f
4oon	lEm'pu:n	@讽刺文; !讽刺	80
4shade	'lEmpSeid	@灯罩	40
2nce	lA:ns	@长矛, 柳叶刀, 执矛战士; !以长矛攻击, 冲进; $急进	80
5t	'lA:nsit	@刺血针, 小枪, 尖顶窗; | 柳叶刀, 小刀	80
3d	lEnd	@陆地, 地面, 地界, 地产, 国土, 土地; $登陆, 登岸, 到达; !使上岸, 使登陆, 使到达; { 连接盘; 焊盘	63
4fill	'lEndfil	@垃圾堆；垃圾填埋地	80
4ing	'lEndiN	@登陆, 码头, 降落; > 上岸, 登陆, 降落	4c
4lady	'lEndleidi	@女房东, 女地主	3c
5ocked	'lEndlOkt	#被陆地围住的	80
6rd	'lEndlQ:d	@房东, 地主; > 业主, 地主, 房东	1c
4mark	'lEndmA:k	@陆标, 划时代的事, 地界标; | 界标	c0
6ss	'lEndmEs	@陆块	40
4scape	'lEndskeip	@风景, 山水, 风景画; $从事景观美化; !美化...景观; { 横向	68
5lide	'lEndslaid	@山崩; ] 滑坡	c0
3e	lein	@小路, 巷, 弄, 单行道	3c
3guage	'lENgwidZ	@语言, 文字, 措辞; { 语言	23
5id	'lENgwid	#疲倦的, 无力的, 阴沉的	e0
6sh	'lENgwiS	$憔悴, 凋萎, 苦思	c0
5or	'lENga	@怠惰, 疲倦, 无气力; | 疲倦, 无力	80
3k	lENk	#瘦的, 细长的, 长而柔软的	c0
3tern	'lEntan	@灯笼, 提灯, 航标灯; !装上提灯	1e
2p	lEp	@膝盖, 舔, 一圈, 下摆, 衣兜, 山坳; $重叠, 围住, 轻拍, 舔; !包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅; { 链接访问程序	be
3idary	'lEpidari	@宝石工艺匠, 宝石鉴定家; #宝石雕刻的, 宝石的	80
3se	lEps	@过失, 流逝, 失效; $犯错, 堕落, 减退, 消失, 流逝; !使失效	b0
3top		{ 膝上型的	10
2rder	'lA:da	@食物橱, 家用食品, 食物储藏室	80
3ge	lA:dZ	#大的, 大量的, 宽大的, 广博的; %大大地, 夸大地	3
5ly	'lA:dZli	%大量地, 很多地, 大半地	5c
5ss	'lA:dZes, 'lA:dZis	@慷慨的赠与/赐与, 赏赐物, 慷慨, 大度, 施舍	80
7e	lA:'dZes	@慷慨的赠与, 慷慨赠与物, 慷慨的赏钱	80
3k	lA:k	@云雀, 百灵鸟, 欢乐, 嬉耍; $嬉耍, 骑马玩乐; !愚弄	80
3va	'lA:va	@幼虫; | 幼虫(昆虫), 蚴(蠕虫)	c0
5e	'lA:va	幼虫(昆虫), 幼体, 蚴(蠕虫); | 幼虫(昆虫), 蚴(蠕虫)	40
3ynx	'lEriNks	@喉头; | 喉	40
2ser	'leiza	@激光; { 激光器	7e
3h	lES	@鞭子, 鞭打, 睫毛, 责骂, 讽刺; !鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动; $冲洗, 鞭打, 责骂	f0
3situde	'lEsitju:d	@疲倦, 疲乏, 无精神; | 倦怠	80
4o	'lEsau	@套索, 以套索捕; !以套索捕	80
3t	lA:st	#最后的, 末尾的, 最近的; $持续, 支持, 维持; !使维持, 够...用; %最后, 后来; @最后, 末尾, 鞋楦头	2
4ing	'lA:stiN	#永久的, 永恒的, 持久的; @厚实斜纹织物	c0
2tch	lEtS	@门闩; $上闩, 抓住, 占有; !闩上; { 门闩线路; 锁存器	80
3e	leit	#迟的, 晚的, 已故的; %很晚, 很迟, 晚	3
4ly	'leitli	%近来, 最近	5e
4ncy	'leitnsi	@潜伏, 潜在; { 传输时间, 传输延迟时间	80
5t	'leitnt	#潜伏性的, 隐藏的; @隐约指纹	f8
4r	'leita	%以后, 随后	1e
5al	'lEtaral	@侧部, 支线, 边音; #侧面的, 旁边的	f0
4st	'leitist	#最近的	22
3he	leiD	@车床; !用车床加工	c8
0Latin	'lEtin	@拉丁人, 拉丁语; #拉丁人的, 拉丁语的	1c
0latitude	'lEtitju:d	@纬度, 范围; ] 宽容度; 伟度	f8
3ter	'lEta	#后者的, 较后的, 近来的	5e
4ice	'lEtis	@格子, 组合格子, 格子状东西; !制做格子, 使成格子状; { 格	88
2ud	lQ:d	@赞美, 称赞; !赞美, 称赞	c0
4able	'lQ:dabl	#值得赞赏的, 值得佩服的; | 健康的	60
3gh	lA:f	@笑, 笑声; $笑, 大笑; !以笑表示	3
5ter	'lA:fta	@笑, 笑声; | 笑, 大笑	1e
3nch	lQ:ntS	@下水, 汽艇, 发射; !使下水, 发射, 发动; $起飞, 下水, 投入, 开始	7c
4dry	'lQ:ndri	@洗衣店, 洗好的衣服, 洗涤; [机] 洗衣作, 洗衣店, 洗衣房	7e
3rel	'lQ:ral	@月桂树, 荣誉; !使戴桂冠, 授予荣誉	40
6s	'lQ:ral	@荣誉, 胜利, 名声	40
2va	'lA:va	@熔岩, 火山岩; | 火山石(一种顺势疗法药)	e0
4tory	'lEvatari	@洗脸盆, 厕所	1e
3e	leiv	!沐浴, 洗; @剩余物	c0
3ish	'lEviS	#大方的, 丰富的, 浪费的; !浪费, 滥用, 慷慨给予	e0
2w	lQ:	@法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼; v. 起诉	3f
3n	lQ:n	@草地, 草坪, 上等细麻布; [机] 细筛	7c
3suit	'lQ:sju:t	@诉讼; } 诉讼, 诉讼案件	48
3yer	'lQ:ja	@律师; > 律师	3e
2x	lEks	#松的, 不严格的, 腹泻的, 松弛的; @腹泻, 松元音	20
3ative	'lEksativ	#通便的, 轻度腹泻的; @通泻剂, 缓泻药	80
2y	lei	!放置, 产, 铺设, 布置, 提出, 平息; $下蛋, 打赌; @位置, 层, 隐藏处; #世俗的, 外行的; lie的过去式	7f
3er	'leia	@层, 产卵鸡, 放置者; !分层堆积, 压植; { 层	7c
5ing	'leiariN	{ 分层; | 分层	40
3man	'leiman	@俗人, 门外汉, 凡人; | 外行, 业外人	f8
3off	'leiQf	@临时解雇, 操作停止, 活动停止期间	38
4ut	'leiaut	@布局, 陈列, 规划图, 页面布局, 版面编排; { 页面布局, 版面	7c
4ver	'leiauva	@中途短暂的停留	80
2zy	'leizi	#懒惰的, 怠惰的, 缓慢的; $懒散	17
1ead	li:d. led	@铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线; !引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包; $领导, 带头, 导致, 用测深锤测深, 被铅覆盖; #带头的, 最重要的	57
4er	'li:da	@领导者, 社论, 指挥, 领袖, 领唱者, 前导字符; { 前导字符	f
6ship	'li:daSip	@领导能力, 领导阶层	5c
4ing	'li:diN	@领导, 指挥, 神示, 铅板; #领导的, 主要的, 在前的	5e
3f	li:f	@叶, 树叶, 花瓣, 页; $生叶, 翻书页; !在...上长叶, 翻...的页	1f
4let	'li:flit	@小叶, 传单; | 小叶	38
3gue	li:g	@同盟, 联盟, 盟约; v. 组联盟, (使)加盟	42
3k	li:k	@漏洞, 漏处, 漏出, 泄漏; $漏, 泄漏; !使渗漏	fe
4age	'li:kidZ	@漏, 漏出物, 泄漏; ] 漏电; 漏水; 漏气; 渗漏; 漏失量; 漏出量	88
4y	'li:ki	#有漏洞的, 易泄漏秘密的, 爱哭的; [电] 漏的	40
3n	li:n	@瘦肉, 倾斜, 倾斜度; #瘦的, 贫乏的, 歉收的; $倚靠, 倾斜, 依赖; !使倾斜	dc
3p	li:p	@跳跃, 剧增, 急变, 被越过之物; $跳跃, 突然经过; !跃过, 使跃过	7c
3rn	la:n	!学习；认识到；得知	23
5ed	'la:nid	#有学问的, 学术上的; learn的过去式和过去分词	1e
5ing	'la:niN	@学问, 学识, 学习; { 学习	1c
3se	li:s	@租约, 租期, 租; !出租, 租出, 租得	f8
4h	li:S	@(拴狗颈的)皮带; !以皮带束缚, 束缚	c0
4t	li:st	@最少, 最小, 最小限度; #最少的, 最小的; %最小, 最少	3f
3ther	'leDa	@皮革, 皮制品, 马镫的皮带; !覆以皮革, 鞭苔, 抽打; #皮革的, 皮制的	5e
3ve	li:v	@许可, 告别, 请假, 休假; !离开, 剩下, 遗忘, 委托, 丢弃; $出发, 离开, 生叶	23
5n	'levn	@酵母, 促使渐变的因素; !使发酵, 渐变	80
2ctern	'lekta:n	@诵经台	80
4ure	'lektSa	@演讲, 谴责, 讲稿; !演讲, 训诫, 说教; $讲演	3e
2dge	ledZ	@突出部分, 暗礁, 矿层	40
5r	'ledZa	@分类帐, 分户总帐, 盖墓石板, 横木; > 分户帐, 分类帐	80
2er	lia	@秋波, 媚眼, 恶意的瞥视; $送秋波, 抛媚眼, 斜睨	80
4y	'liari	#机敏的, 猜疑的, 狡猾的	80
3ward	'li:wa:d	#下风的, 在下风的; %在下风, 在下风方向; @下风, 背风	80
5y	'li:wei	@风压差, 风压角, 可容许的误差, 余地	80
2ft	left	#左边的, 左倾的, 左侧的, 左派的; %在左面; @左, 左面, 左派; leave的过去式和过去分词	3
4over	'leftauva	@剩货, 残留物, 剩饭; #残余的	2
2g	leg	@腿, 假腿, 路程; $走, 跑	3
3acy	'legasi	@祖先传下来之物, 遗赠物; > 遗产, 遗赠物	d8
4l	'li:gal	#法律的, 法定的, 合法的; > 法定权利; 法律(上)的, 合法的	7e
5ize	'li:galaiz	!法律上认为正当, 使合法化; } 使合法化, 法律上认可, 使符法律	40
3end	'ledZand	@传说, 传奇文学, 图例; { 图例	fc
6ary	'ledZandari	#传说的, 传奇中说的, 传奇般的, 传说中的, 著名的	40
4rdemain	.ledZada'mein	@戏法, 骗术, 诡辩	80
3ible	'ledZabl	#清晰的, 易读的	c0
4on	'li:dZan	@军团, 军队, 众多的人	c0
4slate	'ledZisleit	$制定法律; !用立法规定	e0
8ion	.ledZis'leiSan	@立法, 法律; | 立法, 法规	fc
8ure	'ledZisleitSa	@立法机关, 议会, 立法院; } 立法机构, 立法机关	c0
4timate	li'dZitimat	#合法的, 正当的, 婚生的; !认为正当, 立为嫡嗣, 使合法	b8
3ume	'legju:m	@豆类, 豆荚; | 豆, [豆]荚	40
2isure	'li:Za	@空闲, 闲暇, 悠闲; #空闲的, 有闲的	7c
7liness	'li:Zalinis	@悠然, 从容	80
8y	'li:Zali	#悠闲的, 从容的; %从容地, 悠闲地	40
2mon	'leman	@柠檬, 柠檬树, 柠檬色; | 柠檬	36
5ade	.lema'neid	@柠檬水; | 柠檬水	3
2nd	lend	!借, 贷款给, 增添, 提供, 出租; $贷款	3
4er	'lenda	@出借人, 贷方; > 出借者, 贷方, 贷款人	20
3gth	leNT	@长度, 长, 期间, 一段; { 记录长度; 块长; 字长	3e
6en	'leNTan	!加长, 使延长; $变长	48
6y	'leNTi	#冗长的, 漫长的	40
3iency	'li:njansi	@宽大, 温和, 慈悲为怀; } 宽大, 宽恕, 仁慈	80
6t	'li:njant	#宽大的, 温和的, 慈悲为怀的; } 宽大的, 仁慈的	a0
3s	lenz	@透镜, 镜头, 镜片, 晶状体; !给...摄影	7c
2opard	'lepad	@豹, 美洲豹	48
2prosy	'leprasi	@麻疯病, 腐败; | 麻风	20
2sion	'li:Zan	@损害, 身体上的伤害; | 损害	80
3s	les	@较少, 较小; #少的, 小的; %较少, 较小, 较差; { 最低成本估算与调度法	16
4en	'lesn	!减少, 缩小, 减轻; $变小	c
4on	'lesn	@课, 课业, 教训	3
6s	'lesanz	@功课( lesson的名词复数 ); 课程; 教训; 一堂课	20
3t	lest	&以免, 唯恐, 免得	1c
2t	let	!让, 假设, 出租, 排放, 妨碍; $出租, 被承包; @出租屋, 障碍	23
3hal	'li:Tal	#致命的; @致死因子	e0
5rgic	le'TA:dZik	#昏睡的, 无生气的, 泠漠的, 冷淡的; | 昏睡的, 嗜眠的	c0
7y	'leTadZi	@昏睡, 瞌睡, 无力气; | 昏睡, 嗜眠	c0
3ter	'leta	@信, 字母, 证书, 字面意义, 铅字, 学问, 出租人; !写字母于, 在...上刻字母, 用字母标明; $写印刷体字; { 字母	23
4uce	'letis	@莴苣, 生菜, 纸币; | 莴苣	40
2vee	'levi	@早朝, 大堤; !为...筑堤	80
4l	'levl	@水平, 水准, 平地; #同高的, 平坦的, 齐平的, 水平的; !弄平, 夷平, 使同等, 瞄准, 对准; $变平, 拉平; { 级别	3f
5headed	'leval'hedid	#稳健的, 头脑冷静的；明智的	80
5s	'levl	@色阶调整；控制色阶；水平, 标准（level复数形式）	20
4r	'leva	@杠杆, 似杠杆之工具; !撬开; $使用杠杆	bc
5age	'levaridZ	@杠杆作用, 杠杆装置, 杠杆效率; | 杠杆率	4
3ity	'levati	@轻率, 轻浮, 不稳定	c0
3y	'levi	@税款, 所征的人数, 征收; $征税, 课税; !征收, 强求, 召集	f0
2xical	'leksikl	#字典的, 词汇的	80
5ographer	.leksi'kQgrafa	@辞典编纂者	80
6n	'leksikan	@词汇, 词典, 辞典; { 辞典	80
1iability	laia'biliti	@责任, 债务, 倾向; > 责任, 义务, 负债	b8
4le	'laiabl	#有义务的, 应负责的, 有...倾向的; } 有责任的, 可受处理的, 应受罚的	3c
3ison	li:'eizQn	@联络	e0
3r	'laia	@说谎者	c
2bel	'laibal	@以文字损害名誉, 诽谤罪, 侮辱; v. 诽谤, 中伤, 损害名誉	c0
5ous	'laibalas	#诽谤的, 败坏名誉的, 爱诽谤的, 诽谤性的	80
4ral	'libaral	@自由主义者; #慷慨的, 不拘泥的, 宽大的, 自由主义的	7c
7ity	,liba'rEliti	@慷慨, 宽宏大量, 心胸宽大, 胸怀广阔, 公正, 丰富, 宽阔, 丰满	80
7ly	'libarali	%宽大地, 大方地, 自由地	40
6te	'libareit	!解放, 释放, 使自由; [机] 释出, 放出	de
7ion	.liba'reiSan	@释放, 解放; ] 发出; 释放; 放出	e
5tine	'libati:n	@放荡者, 玩乐者, 浪子, 自由思想家; #放荡的	80
6y	'libali	@自由, 特权, 许可, 冒失; } 自由, 自由权, 自由区域	de
3ido	li'bi:dau	@性的冲动, 性欲	80
3rarian	lai'brearian	@图书馆员, 图书管理员; { 程序库管理程序; 程序库生成程序	5e
7es	'laibrari	@图书馆查询系统；函数库；图书馆（library的复数）	20
6y	'laibrari	@图书馆, 藏书, 库; { 库	23
4etto	li'bretau	@歌词集, 剧本	80
2cence	'laisns	@执照, 许可证, 特许; !许可, 特许, 认可	24
5se	'laisns	@执照, 许可证, 特许; !许可, 特许	9f
5tious	lai'senSas	#放肆的; } 放纵的, 无法无天的, 不守法的	80
3hen	'laikan	@青苔, 地衣, 苔藓病; | 地衣, 苔癣	40
3it	'lisit	#合法的, 正当的; } 合法的, 正当的	80
3k	lik	@舔, 少许, 打; !舔, 卷过, 鞭打; $轻轻拍打	3c
2d	lid	@盖子, 限制, 眼睑; !给...盖盖子	1e
2e	lai	@谎言, 假象, 位置; $躺着, 说谎, 位于, 展现, 存在, 停泊; !谎骗	3
3n	'li:an	@留置权, 扣押权; | 脾	80
3utenant	lef'tenant	@中尉, 助理人员, 副官	c
2fe	laif	@生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑; | 生活, 生存, 生命, 寿命	3
4saver	'laifseiva	@救命者, 救生员, 济急的人	40
5tyle	'laifstail	@生活方式	20
4time	'laiftaim	@一生, 终生; #一生的, 终生的	1e
3t	lift	@举起, 帮助, 昂扬, 电梯; !升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃; $升起, 消散, 耸立	77
2gature	'ligatSua	@绳, 索, 缚带; !缚, 捆, 结扎	80
3ht	lait	@光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光; #轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的; !点燃, 照亮; $点着, 变亮, 突降, 偶然碰到; %轻地	23
5en	'laitn	!照亮, 点亮, 减轻, 使轻松, 闪出; $发亮, 打闪, 变轻	c
6r	'laita	@点火者, 点灯工人, 打火机, 驳船; !以驳船搬运	8
5house	'laithaus	@灯塔	40
5ly	'laitli	%轻轻地, 少许, 不费力地	c
5ning	'laitniN	@闪电; $闪电; #闪电的	1e
5s	laits	@（供食用的）家畜的肺脏；灯光（light的复数）	20
3neous	'lignias	#似木的, 木质的, 木制的; | 木样的	80
2ke	laik	#相似的, 同样的; !喜欢, 愿意, 想; $喜欢, 希望; @爱好, 同样的人(或物); ^象, 如同; %可能	3
4lihood	'laiklihud	@可能, 可能性	3c
5y	'laikli	#有可能的, 合适的, 前途有望的; %或许, 可能	1e
4n	'laikan	!比喻, 比拟	80
5ess	'laiknis	@相象, 相似物, 样子	8
4wise	'laikwaiz	%同样地, 也	7c
2ly	'lili	@百合, 百合花; #洁白的, 纯白色的, 纯洁的	8
2mb	lim	@四肢, 枝干, 翼, 边缘; !切断...之手足	fc
4er	'limba	#柔软的, 敏捷的, 富于弹性的; !使柔软; $做准备活动	80
4o	'limbau	@地狱边缘, 监狱, 忘却; } 监狱, 拘禁, 忘却	80
3e	laim	@石灰, 粘鸟胶, 酸橙; !以石灰处理, 粘鸟胶于, 撒石灰	c
4rick	'limarik	@五行打油诗	80
4stone	'laimstaun	@石灰石; ] 石灰石; 石灰岩	c8
3it	'limit	@界限, 边界, 限度, 极限, 限制; !限制, 限定	1e
5ation	.limi'teiSan	@限制, 缺陷, 限额; | 限界, 限制, 限度	5c
5ed	'limitid	#有限制的, 有限的, 有限责任的; @特别快车	9c
3n	lim	!描写, 描绘	80
4er	'limna	@画家, 画匠	40
3ousine	'limazi:n	@轿车	80
3p	limp	@跛行; #柔软的, 无力的, 软弱的; $跛行	f8
4id	'limpid	#清澈的, 透明的, 平静的	c0
2ne	lain	@列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系; !排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹; $排队; { 线路	3f
4age	'liniidZ	@血统, 直系; } 血统, 世系	c0
5l	'linial	#直系的, 正统的, 嫡出的; } 直系的, 世袭的, 继承的	80
5ments	'liniamants	@<正>（面部等的）特征, 轮廓	80
5r	'linia	#线的, 直线的, 线状的; { 线性	f8
4n	'linin	@亚麻布, 亚麻线, 亚麻制品; #亚麻布制的, 亚麻的	fc
4r	'laina	@班机, 划线者, 定期船, 衬里; ] 衬垫; 垫带; 套管	3c
3ger	'liNga	$逗留, 消磨, 徘徊; !消磨	f8
4ual	'liNgwal	#舌的, 舌音的, 语言的; @舌音	80
5istic	liN'^wistik	#语言的, 语言学的; { 语言的, 语言学的	d8
as	liN'gwistiks	@语言学	e0
3ing	'lainiN	@衬里, 内层, 衬垫; ] 衬里; 衬垫; 衬套; 衬层	8
3k	liNk	@环, 连结物, 链接, 火把; !连结, 联合, 挽住; $连接起来; { 连接, 链路	3e
3oleum	li'nauliam	@油地毡, 漆布; ] 油毡; 亚麻油毡	80
3t	lint	@绷带用麻布, 皮棉; | 绒布(外科用布)	80
2on	'laian	@狮子, 狮子(星)座, 国际狮子会会员	1f
4ize	'laianaiz	!将...以名人待之, 游览...的名胜; $结交名流	80
4s	'laian	@腰角；雄狮；狮子（lion的复数）	20
2p	lip	@唇, 口缘, 唇状构造; !以嘴唇碰, 轻轻说出; #口头上的; { 大型互连网信息包	5e
3id	'lipid, 'laipid	@脂类, 类脂物, 脂质; ] 类脂; 脂质; 脂类	40
3stick	'lipstik	@口红, 唇膏; [机] 口红	8
2quefy	'likwifai	v. (使)溶解, (使)液化	80
4id	'likwid	@液体, 流体, 流音; #液体的, 透明的, 明亮的, 流动的, 易变的	de
6ate	'likwideit	!偿付, 清算, 扫除, 整理, 变卖, 消灭; $清算, 清理	80
4or	'lika	@酒, 液体, 汁, 溶液; !浸水; $喝酒	3c
2ssome	'lisam	#柔软的, 敏捷的	80
3t	list	@目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单; !列出, 列于表上, 记入名单内, 装布条; $列于表上; { 列表, 序列, 数据清单	bf
4en	'lisn	$听, 倾听, 听从; @听, 倾听	3
6er	'lisna	@收听者, 听众	4
4less	'listlis	#倦怠的, 无精打采的; > 交易清淡的	c0
2ter	'li:ta	@公升; ] 升	c
5acy	'litarasi	@读写能力, 识字, 精通文学	78
6l	'litaral	#逐字的, 字面上的, 文字的, 字母的; @印刷错误; { 文字; 直接量; 字面量; 句节	88
7ly	'litarali	%逐字地, 按照字面上地, 不夸张地	78
6ry	'litarari	#文学的, 文艺的, 精通文学的; } 文学的, 从事文学的, 从事写作的	5e
6te	'litarit	@学者; #有读写能力的, 精通文学的, 受过教育的	d0
7i	.lita'rA:ti:. 'rA:ti:. -'reitai	@文人（literatus的复数）；文学界	80
7ure	'litaratSa	@文学, 文艺, 著作; > 广告, 商品介绍等文学	3e
3he	laiD	#柔软的	c0
4ograph	'liTaugrEf	@平版印刷品, 石版画; !以平版印刷	40
5sphere	'liTau.sfia	@岩石圈, 陆界; ] 岩石圈	40
3igant	'litigant	#诉讼的; @诉讼当事人, 诉讼关系人	80
6tion	.liti'geiSan	@诉讼, 起诉; > 诉讼, 纠葛	80
3re	li:ta(r)	@升, 公升; { 升	12
3ter	'lita	@垃圾, 杂乱, 轿, 担架; !乱丢, 铺草, 弄乱; $产仔, 乱丢垃圾	fb
4le	'litl	@一点点, 少许, 一会儿, 短时间; #小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的; %很少, 稍微, 完全不	3
4oral	'litaral	#海滨的, 湖岸的, 沿海的; @沿海地, 沿海地区	80
