word,translation,tag
a crack force,劲卒,cedict
a crack in a rock,石罅,cedict
a crafty escape plan,金蝉脱壳,cedict
a crafty person,奸细,cedict
a crafty villain,奸徒,cedict
a craze,热捧,cedict
a crick,扭伤,cedict
a crick in the neck,失枕,cedict
a crime against humanity,反人道罪,cedict
a criminal,刑事犯,cedict
a criminal case,罪案,cedict
a criminal gang,犯罪团伙,cedict
a cripple,瘸腿,cedict
a crispy fried cracker,薄脆,cedict
a cross,磨难,cedict
a crown,头冠,cedict
a crystal,结晶体,cedict
a cudgel,笞杖,cedict
a cunning plot,花花肠子,cedict
a customs officer,税官,cedict
a cut above,加人一等,cedict
a cut above others,高人一等,cedict
a dab hand,巧手,cedict
a dad,宝爸,cedict
a dam across a river,拦河坝,cedict
a dandy,唐璜,cedict
a danger,危及,cedict
a danger appears,出险,cedict
a daoist,道教徒,cedict
a dark sea,溟海,cedict
a date,约会对象,cedict
a dead calm,风平浪静,cedict
a dead loss,鸡飞蛋打,cedict
a deaf and mute person,聋哑人,cedict
a deal,约定,cedict
a decade of a century,年代,cedict
a decline,衰退,cedict
a deep fryer,油锅,cedict
a deep throat,深喉,cedict
a defeat,滑铁卢,cedict
a defense,抗辩,cedict
a definite plan,具体计划,cedict
a deformed child,残疾儿,cedict
a delegation,使节团,cedict
a deliberate wrongdoing,缺德事,cedict
a delicacy,炼珍,cedict
a deluge of heavenly flowers,天花乱坠,cedict
a demerger,分拆,cedict
a demonstration,示威,cedict
a demoted official,贬官,cedict
a departing gift,留别,cedict
a detailed list,明细表,cedict
a devastating criticism,诛心之论,cedict
a developable surface,可展曲面,cedict
a device for extracting water,脱水机,cedict
a diagonal,对角线,cedict
a different matter,别论,cedict
a digest,选录,cedict
a digital scan,数码扫描,cedict
a dike breaks,开口子,cedict
a din,噪杂,cedict
a diplomatic group,使节团,cedict
a diplomatic note,照会,cedict
a diplomatic representative,代办,cedict
a dirge,挽歌,cedict
a disciple,传人,cedict
a discovery,发现,cedict
a disdainful look,白眼,cedict
a disgrace,羞惭,cedict
a disparate collection,杂烩,cedict
a dispatch,调遣,cedict
a dispute,争辩,cedict
a dissecting room,解剖室,cedict
a distant location,远方,cedict
a district magistrate,太爷,cedict
a diversion,疑阵,cedict
a documentary film,资料片,cedict
a dome,拱顶,cedict
a door that hinges upwards,吊门,cedict
a door-like or hinged cover,盖门,cedict
a dope,二百五,cedict
a double-check,验算,cedict
a doubtful case,疑案,cedict
a doubtful point,疑义,cedict
a downpour,倾盆,cedict
a dozen or more,十数,cedict
a draw,平局,cedict
a dream,理想,cedict
a dream come true,得志,cedict
a drier,干燥机,cedict
a drill,炮钎,cedict
a drip,点滴,cedict
a dripstone,滴石,cedict
a drop in the ocean,九牛一毛,cedict
a drum tower,鼓楼,cedict
a dry cough,干咳,cedict
a duel,决斗,cedict
a dusting,敷粉,cedict
a face without makeup,素颜,cedict
a face-lift,翻新,cedict
a factor,起因,cedict
a failing,失灵,cedict
a fall from grace,堕落,cedict
a fall on the buttocks,屁墩儿,cedict
a fallen nation,亡国,cedict
a family member,乡戚,cedict
a family tree,家族树,cedict
a family wrenched apart,妻离子散,cedict
a famous person,显赫人物,cedict
a famous wine,名酒,cedict
a far-fetched interpretation,望文生义,cedict
a faraway and hard-to-reach land,绝域,cedict
a faraway place,天涯,cedict
a fashion show,走秀,cedict
a fast,禁食,cedict
a faulty expression in writing,败笔,cedict
a faux pas,得罪,cedict
a fax,传真,cedict
a feast for the eyes,秀色可餐,cedict
a feeling,感受,cedict
a few,少量,cedict
a few  ago,前些,cedict
a few days ago,前几天,cedict
a few days before,前几天,cedict
a few words,两句,cedict
a fighter for environmental protection,环保斗士,cedict
a fighter for human rights,人权斗士,cedict
a filter,滤清器,cedict
a find,发现物,cedict
a fine,罚锾,cedict
a fine distinction,一线之间,cedict
a fine line,一线之间,cedict
a fine thing,美事,cedict
a fine work of art,妙品,cedict
a finished product,成品,cedict
a fit,一阵,cedict
a flag carrier,旗手,cedict
a flare,闪亮,cedict
a flash,掣电,cedict
a flash of realization,顿悟,cedict
a flash of understanding,豁然,cedict
a flood,洪流,cedict
a flourishing period,盛世,cedict
a foil,烘托,cedict
a follower of daoism,道教徒,cedict
a fool's paradise,燕雀处堂,cedict
a fop,唐璜,cedict
a force,势力,cedict
a forced draft,鼓风,cedict
a former incarnation,上辈子,cedict
a fortune in misfortune,不幸之幸,cedict
a forward,前锋,cedict
a foul,犯规,cedict
a fountain,喷水池,cedict
a fraudulent purchase,套购,cedict
a fraudulently used credit card,黑卡,cedict
a fray,战团,cedict
a freckle,雀子,cedict
a frigate,卫舰,cedict
a front,阵线,cedict
a frugal life,枕石漱流,cedict
a full month,匝月,cedict
a full mouth of,满口,cedict
a full view,弥望,cedict
a functional,泛函,cedict
a furnace for smelting metal,冶炼炉,cedict
a fuse,信管,cedict
a fuss about nothing,杀人不过头点地,cedict
a futile quarrel,郑人争年,cedict
a galactic nebula,银河星云,cedict
a galaxy of talent,人才济济,cedict
a gang of rogues,狐群狗党,cedict
a gap,间断,cedict
a gasp of surprise,惊叹,cedict
a gauge block,块规,cedict
a general narrative,综述,cedict
a general or admiral,大将,cedict
a general overview,总览,cedict
a generalization based on observation,定律,cedict
a genius,贤才,cedict
a geodesic,大地线,cedict
a get-together,纠合,cedict
a ghastly sight,怵目惊心,cedict
a giant among men,人中龙凤,cedict
a gifted person,可人,cedict
a glance,一眼,cedict
a gleam of hope,一线希望,cedict
a glimmer,荧荧,cedict
a glimpse,一眼,cedict
a glint,闪射,cedict
a glued joint,胶接,cedict
a glutton for punishment,甘之如饴,cedict
a go-between,牵头,cedict
a goblin,灵怪,cedict
a gold mine,肥肉,cedict
a golden age,盛世,cedict
a golden couple,金童玉女,cedict
a golden opportunity,良机,cedict
a good beginning,开门红,cedict
a good chance,良机,cedict
a good deal of,好些,cedict
a good meal,牙祭,cedict
a good remedy,良药,cedict
a good while,良久,cedict
a good wife,贤内助,cedict
a good word,好话,cedict
a good-for-nothing,吃货,cedict
a good-for-nothing adviser,狗头军师,cedict
a gorge,涧峡,cedict
a grade a war criminal,甲级战犯,cedict
a great age,遐年,cedict
a great blessing,大福,cedict
a great life-saving favor,恩同再造,cedict
a great name,重名,cedict
a great number,悠悠,cedict
a great number of students,莘莘学子,cedict
a great sage has died,山颓木坏,cedict
a group,集体,cedict
a group of beggars,丐帮,cedict
a grown man,大男人,cedict
a guard,守卫者,cedict
a guide,带路人,cedict
a guild,会社,cedict
a guilty conscience,亏心,cedict
a guitar,吉它,cedict
a gun,枪支,cedict
a gunman,枪匪,cedict
a hair,毫发,cedict
a hair's breadth apart,一线之间,cedict
a half-beat behind,慢半拍,cedict
a halo,灵光,cedict
a hammerhead shark,锤头鲨,cedict
a han family name,汉姓,cedict
a hand basin,洗脸盘,cedict
a handle,把儿,cedict
a handstand,倒立,cedict
a hard nut to crack,硬骨头,cedict
a hard time,受罪,cedict
a hard wood,阴桫,cedict
a harpsichord,大键琴,cedict
a headwind,逆风,cedict
a hebrew,希伯来人,cedict
a helping hand,援助之手,cedict
a heretic,异端者,cedict
a hermaphrodite,雌雄同体人,cedict
a hick,老帽儿,cedict
a high,快感,cedict
a high-class upright character,高风峻节,cedict
a highly capable person,强人,cedict
a hindrance,无利,cedict
a hit,佳评如潮,cedict
a hit with the public,热捧,cedict
a hoard,秘藏,cedict
a hole,破洞,cedict
a home away from home,宾至如归,cedict
a hook,搭钩,cedict
a hoop,环箍,cedict
a hopeless endeavor,水中捞月,cedict
a horizontal cut,横切,cedict
a horizontal inscribed board,匾额,cedict
a hospital drip,静点,cedict
a hot property,抢手货,cedict
a hot tourist attraction,旅游热点,cedict
a household name,妇孺皆知,cedict
a household's economic situation,家计,cedict
a huge amount,卷帙浩繁,cedict
a huge letdown,不给力,cedict
a human rights activist,人权斗士,cedict
a humpback bridge,罗锅桥,cedict
a hunchback,罗锅,cedict
a hundred or more,百余,cedict
a hundred or so,百儿八十,cedict
a hundred percent,不折不扣,cedict
a hydroxide,氢氧化物,cedict
a jade statuette,玉人,cedict
a jade worker,玉人,cedict
a jail,监押,cedict
a jesuit,耶稣会士,cedict
a job in the bureaucracy,官职,cedict
a joint,对接,cedict
a joint decision,公决,cedict
a joint venture,合营,cedict
a jot,纹丝,cedict
a kickback,回扣,cedict
a kidnapping,绑架,cedict
a kind of a bread,窝窝头,cedict
a kind of cake,云片糕,cedict
a kind of earthworm,笄蛭,cedict
a knell,敲丧钟,cedict
a knight-errant,游侠骑士,cedict
a knockout competition,淘汰赛,cedict
a korean,思密达,cedict
a ladies man,唐璜,cedict
a lady's chamber,闺窗,cedict
a lady's room,兰室,cedict
a laissez-passer or safe conduct,通行证,cedict
a lame person,瘸腿,cedict
a lament,感遇诗,cedict
a landing-stage,栈桥,cedict
a landslide,山泥倾泻,cedict
a lantern or torchlight procession,火龙,cedict
a large body of,大队,cedict
a large landowner,大地主,cedict
a large number,大数,cedict
a large sum of,大笔,cedict
a lasso,套索,cedict
a latch,锁定,cedict
a lathe,机床,cedict
a law,律条,cedict
a law unto oneself,独断专行,cedict
a laxative,通便剂,cedict
a lazybones,懒猫,cedict
a leading light,当世之冠,cedict
a leak,漏泄,cedict
a leap forward,跃进,cedict
a learned person,腹笥便便,cedict
a leather drive belt,皮带传动,cedict
a ledger,分类帐,cedict
a left-and-right pair of shoes,认脚鞋,cedict
a legacy,留传,cedict
a legalist,法家,cedict
a length of hair,发脚,cedict
a lesbian,女同,cedict
a letter,简帖,cedict
a letter of condolence,唁信,cedict
a libation,奠酒,cedict
a lie,假话,cedict
a life and death struggle,鱼死网破,cedict
a life of strenuous studies,寒窗,cedict
a life raft,救生筏,cedict
a lifetime,一辈子,cedict
a lifetime ago,隔世,cedict
a line of verse,一句,cedict
a list,列举,cedict
a little,有一点儿,cedict
a little bit,一抿子,cedict
a little earlier,稍早时,cedict
a little early,稍早,cedict
a little more than,冒头,cedict
a little while,一时半晌,cedict
a live stream,直播间,cedict
a lively party,履舄交错,cedict
a living being,噍类,cedict
a living buddha,活菩萨,cedict
a load on one's mind,心事,cedict
a loan,贷款,cedict
a local person,当地居民,cedict
a lock,锁定,cedict
a lockout,关厂,cedict
a logging area,伐木场,cedict
a lolita,萝莉,cedict
a loner,落落难合,cedict
a long and difficult road,万水千山,cedict
a long distance,千里,cedict
a long period of separation,久别,cedict
a long pillow or cushion,抱枕,cedict
a long talk,长谈,cedict
a long time,久长,cedict
a long time ago,老早,cedict
a long time since,久已,cedict
a long-cherished ambition is realized,夙愿以偿,cedict
a long-term plan,远谋,cedict
a look,妆容,cedict
a loom,机杼,cedict
a loss,折本,cedict
a lot,多多,cedict
a lot of people,千夫,cedict
a lottery,抽奖,cedict
a loud rumble,轰然,cedict
a louvre,通气孔,cedict
a love nest,香巢,cedict
a lovely young couple,金童玉女,cedict
a low fever,低烧,cedict
a low fire,微火,cedict
a lucky chance,幸事,cedict
a lull,暂息,cedict
a luminary,显赫人物,cedict
a lump on the heart,块垒,cedict
a lunette,弦月窗,cedict
a luxury,奢丽,cedict
a magnificent and unprecedented event,盛况空前,cedict
a majority,太半,cedict
a make-or-break matter,存亡攸关,cedict
a male,男人,cedict
a man,男人,cedict
a man of character,大丈夫,cedict
a man of merit,贤士,cedict
a manchu,满人,cedict
a manhunt,搜捕,cedict
a manly man,大丈夫,cedict
a marble,弹珠,cedict
a marriage made in heaven,蓝田种玉,cedict
a marriage predestined by fate,姻缘,cedict
a married couple,匹偶,cedict
a martial art,太极拳,cedict
a martial arts  novel,武侠小说,cedict
a mass,质量块,cedict
a mass of flowers,繁花,cedict
a mastermind,诸葛亮,cedict
a masterpiece,力作,cedict
a match made in heaven,天作之合,cedict
a matter for derision,话柄,cedict
a matter for regret,憾事,cedict
a matter for ridicule,笑柄,cedict
a matter of course,天经地义,cedict
a maxim,处世原则,cedict
a maze,迷津,cedict
a maze of doubts,疑团,cedict
a mechanic,机械工,cedict
a mechanical planter,栽种机,cedict
a meeting of heroes,群英会,cedict
a meeting of minds,兰交,cedict
a meeting point,汇点,cedict
a melody,腔调,cedict
a member,一员,cedict
a member of one's clique,私人,cedict
a memo book,记事簿,cedict
a memory,印象,cedict
a mere skeleton,骨头架子,cedict
a mess of bookkeeping,糊涂账,cedict
a message of condolence,唁函,cedict
a meteorologist,气象学者,cedict
a method of decoration,开光,cedict
a mexican,老墨,cedict
a military order is inviolable,号令如山,cedict
a military show of force,示威,cedict
a million miles,十万八千里,cedict
a mine,矿井,cedict
a mine shaft,矿井,cedict
a miniature,微雕,cedict
a minor matter,小节,cedict
a miracle,生死肉骨,cedict
a miraculous column of light,灵光,cedict
a miscarriage,小产,cedict
a miscellany,杂记,cedict
a misjudged legal case,错案,cedict
a mission,传教团,cedict
a mistake,走眼,cedict
a misty path,霞径,cedict
a mix,夹杂,cedict
a mixture,融合,cedict
a mob of people,暴民,cedict
a mobile,动态雕塑,cedict
a model example,示范,cedict
a moldy smell,霉气,cedict
a mole,卧底,cedict
a mom,宝妈,cedict
a moment,一刹那,cedict
a moment ago,刚才,cedict
a moment of enlightenment,顿悟,cedict
a monosyllable,单音节,cedict
a moor,摩尔人,cedict
a mortgage,按揭,cedict
a motley collection,七拼八凑,cedict
a mound,封土,cedict
a mouthful,一口,cedict
a move,一举,cedict
a multitude,人海,cedict
a multitude of talented people,杞梓之林,cedict
a musical,音乐剧,cedict
a musical score,乐谱,cedict
a mute,哑子,cedict
a name for ancient currency,元宝,cedict
a narrow bed,卧榻,cedict
a narrow escape,天幸,cedict
a narrow gap,少间,cedict
a narrow slit window,弦月窗,cedict
a narrow street,夹道,cedict
a narrow strip of water,一衣带水,cedict
a nation's power,国力,cedict
a national policy,国策,cedict
a natural stronghold,天险,cedict
a naval escort,护航,cedict
a neglected branch,冷门,cedict
a network computer game,联机游戏,cedict
a new lease of life,更生,cedict
a new shift,瓜代,cedict
a new year begins,一元复始,cedict
a news service,通讯社,cedict
a night march,夜行军,cedict
a nip in the air,寒意,cedict
a nobody,小人物,cedict
a nonentity,平庸之辈,cedict
a nonnegative number,非负数,cedict
a nonpositive number,非正数,cedict
a nook in the mountains,山阿,cedict
a noose,套结,cedict
a noose for hanging criminals,绞索,cedict
a north indian language,北印度语,cedict
a notice,启事,cedict
a nuclear power,核大国,cedict
a nuisance,受罪,cedict
a one-person exhibition,个展,cedict
a one-piece dress,连衣裙,cedict
a pack of lies,一派谎言,cedict
a pain in the neck,讨嫌,cedict
a palanquin,竹舆,cedict
a pandora's box,潘多拉魔盒,cedict
a panoramic view,一览无余,cedict
a paradox,吊诡,cedict
a paragon,无敌,cedict
a parisitoid wasp,金小蜂,cedict
a parody,戏仿,cedict
a particular year,年头,cedict
a partner in crime,同谋,cedict
a party,一方,cedict
a pass,票证,cedict
a passer-by,过路人,cedict
a pastiche,拟作,cedict
a pathogen,病原菌,cedict
a patient,患病者,cedict
a patient and his family,病家,cedict
a pawn,棋子,cedict
a peal,一阵,cedict
a peg,销子,cedict
a pendant,吊坠,cedict
a period of time,一时,cedict
a person after one's heart,可人,cedict
a person cut to pieces,肉酱,cedict
a person in distress,受难者,cedict
a person in the know,个中人,cedict
a person of foresight,先知,cedict
a person of short stature,矮个儿,cedict
a person strolling about,漫步者,cedict
a person who does so,掉书袋,cedict
a person's age,春秋,cedict
a person's appearance,体表,cedict
a person's clothing,行头,cedict
a person's preferences,口味,cedict
a person's repulsive appearance,屄样儿,cedict
a person's status,名分,cedict
a petty advantage,便宜,cedict
a philanderer,轻薄,cedict
a photocopy,影印本,cedict
a photographic plate,照片底版,cedict
a piano key,琴键,cedict
a piece of cake,拾芥,cedict
a pier,栈桥,cedict
a pile of junk,废铜烂铁,cedict
a pile of old books,故纸堆,cedict
a pilgrimage,朝拜,cedict
a pin,销子,cedict
a place buzzing with activity,熙来攘往,cedict
a place far from home,异乡,cedict
a place of secret cohabitation,香巢,cedict
a place with many visitors,门庭若市,cedict
a plan,平面图,cedict
a planar graph,平面图,cedict
a plane figure,平面图,cedict
a plane wave,平面波,cedict
a plank road,栈径,cedict
a planned activity,节目,cedict
a plateful,满盘,cedict
a platform,栈桥,cedict
a player,局中人,cedict
a playoff,季后赛,cedict
a plea,抗辩,cedict
a pleasant change,耳目一新,cedict
a poached egg,卧果儿,cedict
a poem,诗篇,cedict
a point,一点,cedict
a point by point commentary,评点,cedict
a poison,毒剂,cedict
a pole,撑杆,cedict
a policewoman,女警员,cedict
a polished stone  implement,磨制石器,cedict
a pool of stagnant water,一潭死水,cedict
a popular wave,热捧,cedict
a port for external trade,口岸,cedict
a portable lamp,提灯,cedict
a positive in the negative,不幸之幸,cedict
a possession,所有物,cedict
a posteriori,后天,cedict
a pot of porridge,一锅粥,cedict
a potpourri,杂集,cedict
a power,大国,cedict
a power struggle,争霸,cedict
a powerful current,洪流,cedict
a powerful team,强队,cedict
a practice drum,哑鼓,cedict
a prayer mat,跪毯,cedict
a preaching ministry,训导职务,cedict
a preliminary study,初探,cedict
a prepared speech,宣读,cedict
a preprint,预印本,cedict
a pretext,口实,cedict
a pretext for gossip,话柄,cedict
a principal viewpoint,主调,cedict
a print,版画,cedict
a priori,先验,cedict
a private firm,个体户,cedict
a private whisper,切切私语,cedict
a problem appears,出毛病,cedict
a professional,内行,cedict
a profiteer,倒爷,cedict
a projection,投影,cedict
a projective transformation,射影变换,cedict
a promise must be kept,一言为重,cedict
a prop,撑杆,cedict
a property providing rural accommodation,农家乐,cedict
a prophet,先知,cedict
a prostitute,幺二,cedict
a protractor,分角器,cedict
a provincial capital,省垣,cedict
a provocation,敲打锣鼓,cedict
a psychedelic,迷幻剂,cedict
a pullover,套衫,cedict
a pump,唧筒,cedict
a punctuation mark,标点,cedict
a punitive expedition,征发,cedict
a punka,吊扇,cedict
a pure heart,纯情,cedict
a pure shade,十足,cedict
a pylon,电缆塔,cedict
a queue of people,人龙,cedict
a quick look,一眼,cedict
a quicker method,近道,cedict
a quid pro quo,对价,cedict
a racket,骗局,cedict
a radical change,旋乾转坤,cedict
a radio,无线电,cedict
a raffle,慈善抽奖,cedict
a rake,木齿耙,cedict
a range of hills,群山,cedict
a rank growth of grass,草莽,cedict
a rank in government service,荣禄大夫,cedict
a rare genius,元宝,cedict
a rare treasure,奇珍,cedict
a rash,皮疹,cedict
a raven,大乌鸦,cedict
a reading group,书社,cedict
a real man,大男人,cedict
a real person,真人,cedict
a rebel,叛逆,cedict
a reception,招待会,cedict
a rectangular parallelepiped,正方体,cedict
a refined chant,雅歌,cedict
a reformed character,痛改前非,cedict
a refutation,驳词,cedict
a regional accent,南腔北调,cedict
a register,簿册,cedict
a regret,缺憾,cedict
a relative,亲戚,cedict
a relaxing pass-time,消愁解闷,cedict
a remarkable thing,异事,cedict
a remote ancestor,远祖,cedict
a remote and desolate place,穷乡僻壤,cedict
a remote control,遥控器,cedict
a replacement,替补,cedict
a reply,回函,cedict
a reply telegram,回电,cedict
a republican party member,共和党人,cedict
a reputation with no substance,虚有其表,cedict
a request,愿心,cedict
a requisition,征发,cedict
a resolution,决议,cedict
a return call,回电,cedict
a return journey,打来回,cedict
a review,后感,cedict
a revolutionary,革命家,cedict
a reward,赏赐,cedict
a rich farmer,上农,cedict
a right angle,直角,cedict
a rioter,骚乱者,cedict
a rogue,奸诈,cedict
a role to play,一席之地,cedict
a roly-poly,胖墩儿,cedict
a romance,桃花运,cedict
a rope ladder,吊梯,cedict
a rough diamond,大醇小疵,cedict
a round vault,圆拱,cedict
a roundup,综述,cedict
a ruler and his ministers,君臣,cedict
a rupture,决裂,cedict
a rustling noise,窸窣,cedict
a sacrifice,供奉,cedict
a safe,保险柜,cedict
a sage,圣贤,cedict
a saltmarsh,盐碱湿地,cedict
a saltpan,卤田,cedict
a salvo,排射,cedict
a sand bar,沙坝,cedict
a sandbank,沙坝,cedict
a sash window,吊窗,cedict
a saucer,杯托,cedict
a saudi,沙特阿拉伯人,cedict
a savage,野人,cedict
a saw,锯子,cedict
a sawblade,锯条,cedict
a sawframe,锯架,cedict
a sawhorse,锯木架,cedict
a sawyer,锯工,cedict
a scam,骗人,cedict
a scene of wholesale slaughter,尸山血海,cedict
a scheme,概型,cedict
a scholarly and inquisitive individual,载酒问字,cedict
a scholarly journal,学报,cedict
a scientific research group,科研小组,cedict
a scoundrel,奸民,cedict
a scout,侦察,cedict
a scratch,划痕,cedict
a screening,上演,cedict
a scrivener,代书,cedict
a sea of flames,火海,cedict
a sea of people,人海,cedict
a seal,篆刻,cedict
a seat,席位,cedict
a second job,兼营,cedict
a secret,秘密,cedict
a secret society,秘密会社,cedict
a see-saw,翘板,cedict
a seedling,芽苗,cedict
a self-made genius,自学成才,cedict
a selfie,自拍,cedict
a sellout,满堂,cedict
a senior in one's household,家老,cedict
a senior monk,高僧,cedict
a sense of propriety,进退,cedict
a sentence,一句,cedict
a sentimental attachment,敝帚自珍,cedict
a separate matter,异事,cedict
a series of books,丛书,cedict
a series of tricks,套数,cedict
a sermon,传道,cedict
a set,一套,cedict
a set of measures,组合拳,cedict
a set square,直角器,cedict
a share,股份,cedict
a share grant,送股,cedict
a sheep in wolf's clothing,色厉内荏,cedict
a shill for a clinic,医托,cedict
a shipwreck,沉船事故,cedict
a shiver,寒噤,cedict
a shoot,芽苗,cedict
a shooting,枪击案,cedict
a short moment,拈指,cedict
a short person,矮个儿,cedict
a short time,一时半晌,cedict
a short while,少刻,cedict
a short while ago,顷者,cedict
a short-barreled mortar,虎蹲炮,cedict
a short-term loan,通融,cedict
a shot in the dark,无的放矢,cedict
a shout,呼声,cedict
a show of extravagance,排场,cedict
a show of strength,奋武扬威,cedict
a sideshow,杂耍,cedict
a sieve,滤网,cedict
a signal,信标,cedict
a silly,瓜娃子,cedict
a silver or gold ingot,元宝,cedict
a single cent,分文,cedict
a single penny,分文,cedict
